Name, Imax, %normal, %emergency, kW, kvar, NumCustomers, TotalCustomers, NumPhases, kVBase
Line.M01,    85.7707,    21.44,    14.30,    1465.05,    721.149, 0, 33, 3, 6.35 
Line.M02,    36.5047,     9.13,     6.08,    623.875,    306.243, 0, 0, 3, 6.35 
Line.LU1,    37.2493,     9.31,     6.21,    633.944,    311.962, 0, 0, 3, 6.35 
Line.LU2,    34.3676,     8.59,     5.73,    584.663,    287.664, 0, 1, 3, 6.35 
Line.LU3,    34.0532,     8.51,     5.68,    578.809,    285.066, 0, 2, 3, 6.35 
Line.LU4,    33.7804,     8.45,     5.63,    573.963,    282.824, 0, 3, 3, 6.35 
Line.LU5,    30.8947,     7.72,     5.15,    524.799,    258.576, 0, 4, 3, 6.35 
Line.LU6,    27.7669,     6.94,     4.63,    471.464,    232.236, 0, 5, 3, 6.35 
Line.LU7,    25.1216,     6.28,     4.19,    426.229,    210.057, 0, 6, 3, 6.35 
Line.LU8,    22.7159,     5.68,     3.79,    385.158,    189.973, 0, 7, 3, 6.35 
Line.LU9,    18.8554,     4.71,     3.14,    319.656,    157.419, 0, 8, 3, 6.35 
Line.LU10,    14.9937,     3.75,     2.50,    254.186,    124.904, 0, 9, 3, 6.35 
Line.LU11,     14.635,     3.66,     2.44,    248.075,    121.975, 0, 10, 3, 6.35 
Line.LU12,    11.0143,     2.75,     1.84,    186.779,    91.5558, 0, 11, 3, 6.35 
Line.LU13,    7.14976,     1.79,     1.19,    121.418,    59.0395, 0, 12, 3, 6.35 
Line.LU14,    4.11942,     1.03,     0.69,      69.87,    34.1924, 0, 2, 3, 6.35 
Line.LU15,       2.65,     0.66,     0.44,    44.9473,    21.9927, 0, 1, 3, 6.35 
Line.LU16,    3.03048,     0.76,     0.51,    51.5472,    24.8513, 0, 14, 3, 6.35 
Line.LU17,   0.620267,     0.16,     0.10,    10.6733,    4.82261, 0, 15, 3, 6.35 
Line.LU18,    3.24328,     0.81,     0.54,   -54.6657,   -27.6055, 0, 16, 3, 6.35 
Line.LU19,    6.14412,     1.54,     1.02,   -103.686,   -52.0541, 0, 17, 3, 6.35 
Line.LU20,    14.3651,     3.59,     2.39,   -243.157,   -120.251, 0, 20, 3, 6.35 
Line.LU21,    15.7279,     3.93,     2.62,   -266.311,   -131.596, 0, 21, 3, 6.35 
Line.LU22,    16.8627,     4.22,     2.81,   -285.715,   -140.803, 0, 22, 3, 6.35 
Line.LU23,    43.8001,    10.95,     7.30,   -742.138,   -365.727, 0, 30, 3, 6.35 
Line.LU24,    46.6909,    11.67,     7.78,   -791.538,   -390.104, 0, 31, 3, 6.35 
Line.LU25,    46.7035,    11.68,     7.78,   -791.824,   -390.113, 0, 31, 3, 6.35 
Line.LU26,    48.1332,    12.03,     8.02,   -816.277,   -401.823, 0, 32, 3, 6.35 
Line.LU27,    48.1456,    12.04,     8.02,   -816.654,   -401.876, 0, 32, 3, 6.35 
Line.LU28,    48.1443,    12.04,     8.02,   -816.975,   -402.032, 0, 32, 3, 6.35 
Line.LU29,    48.5187,    12.13,     8.09,   -823.711,   -405.176, 0, 33, 3, 6.35 
Line.LU30,    48.5291,    12.13,     8.09,   -824.605,   -405.481, 0, 33, 3, 6.35 
Line.LU31,    48.5284,    12.13,     8.09,   -825.863,   -406.054, 0, 33, 3, 6.35 
Line.LU32,    26.9374,     6.73,     4.49,    456.421,    224.925, 0, 8, 3, 6.35 
Line.LU33,    21.6387,     5.41,     3.61,    366.659,    180.638, 0, 7, 3, 6.35 
Line.LU34,    17.7739,     4.44,     2.96,    301.293,     148.07, 0, 6, 3, 6.35 
Line.LU35,    12.8071,     3.20,     2.13,    217.012,     106.75, 0, 0, 3, 6.35 
Line.LU36,    12.8089,     3.20,     2.13,    216.999,    106.817, 0, 0, 3, 6.35 
Line.LU37,     10.156,     2.54,     1.69,    172.044,    84.6962, 0, 1, 3, 6.35 
Line.LU38,    9.90211,     2.48,     1.65,    167.586,    82.8777, 0, 2, 3, 6.35 
Line.LU39,     9.5309,     2.38,     1.59,    161.177,    80.0158, 0, 3, 3, 6.35 
Line.LU40,    9.51875,     2.38,     1.59,    160.903,    80.0368, 0, 3, 3, 6.35 
Line.LU41,    1.79504,     0.45,     0.30,     30.427,    14.9197, 0, 4, 3, 6.35 
Line.LU42,    1.09866,     0.27,     0.18,   -18.5923,   -9.19375, 0, 5, 3, 6.35 
Line.LU43,    4.96342,     1.24,     0.83,   -83.9315,   -41.6648, 0, 6, 3, 6.35 
Line.LU44,    4.96161,     1.24,     0.83,   -83.9364,   -41.5909, 0, 6, 3, 6.35 
Line.LU45,     4.9711,     1.24,     0.83,   -84.2136,   -41.4579, 0, 6, 3, 6.35 
Line.LU46,    8.22205,     2.06,     1.37,    139.467,    68.2316, 0, 3, 3, 6.35 
Line.LU47,    5.32918,     1.33,     0.89,    90.4346,    44.1234, 0, 2, 3, 6.35 
Line.LU48,    5.32963,     1.33,     0.89,    90.4332,    44.1418, 0, 2, 3, 6.35 
Line.LU49,    2.91889,     0.73,     0.49,    49.5573,    24.1096, 0, 1, 3, 6.35 
Line.LU50,    2.89449,     0.72,     0.48,    49.0201,    24.1582, 0, 1, 3, 6.35 
Line.LU51,   0.028485,     0.01,     0.00,   0.536846,  -0.032234, 0, 0, 3, 6.35 
Line.LU52,  0.0142233,     0.00,     0.00,   0.268423, -0.00804479, 0, 0, 3, 6.35 
Line.LU54,    7.05417,     1.76,     1.18,    120.482,    59.0612, 0, 0, 3, 6.35 
Line.LU55,    6.46526,     1.62,     1.08,    110.286,    54.3668, 0, 0, 3, 6.35 
Line.LU56,    3.35338,     0.84,     0.56,    57.1783,    28.2326, 0, 0, 3, 6.35 
Line.LU57,    27.0595,     6.76,     4.51,    461.998,    226.895, 0, 0, 3, 6.35 
Line.LU58,    27.0502,     6.76,     4.51,    461.441,    226.863, 0, 0, 3, 6.35 
Line.LU59,    26.4076,     6.60,     4.40,    450.133,    221.572, 0, 0, 3, 6.35 
Line.LU60,     23.771,     5.94,     3.96,    405.126,    199.436, 0, 0, 3, 6.35 
Line.LU61,     21.374,     5.34,     3.56,    364.233,    179.363, 0, 0, 3, 6.35 
Line.LU62,    17.5314,     4.38,     2.92,    298.835,    146.817, 0, 0, 3, 6.35 
Line.LU63,    15.1345,     3.78,     2.52,    257.951,    126.775, 0, 0, 3, 6.35 
Line.LU64,    3.37289,     0.84,     0.56,    57.4467,    28.3139, 0, 0, 3, 6.35 
Line.LU65,  0.0143558,     0.00,     0.00,   0.271488, -0.0244655, 0, 0, 3, 6.35 
Line.LU66,    11.7631,     2.94,     1.96,    200.468,    98.4994, 0, 0, 3, 6.35 
Line.LU67,    3.36069,     0.84,     0.56,    57.1759,    28.3171, 0, 0, 3, 6.35 
Line.LU68,    5.76576,     1.44,     0.96,    98.3178,    48.1268, 0, 0, 3, 6.35 
Line.LU69,  0.0158913,     0.00,     0.00,   0.271379,  -0.131782, 0, 0, 3, 6.35 
Line.LU70,    2.87787,     0.72,     0.48,     49.021,    24.1209, 0, 0, 3, 6.35 
Line.LU73, 0.00237998,     0.00,     0.00, 3.32966E-10, -0.0449402, 0, 0, 3, 6.35 
Transformer.RAM_MANDIR,    2.88341,     4.99,     3.66,    49.0197,    24.2015, 1, 1, 3, 6.35 
Transformer.DEMPO_DTC,   0.317515,     0.55,     0.40,    5.48175,     2.4782, 1, 1, 3, 6.35 
Transformer.RB_ENGG,   0.273937,     0.47,     0.35,    4.70118,    2.19615, 1, 1, 3, 6.35 
Transformer.UNDIR_BAKALE,    2.88694,     5.00,     3.67,    49.0195,    24.2031, 1, 1, 3, 6.35 
Transformer.MULEBHAT,    3.13007,     5.42,     3.98,    53.0959,    26.2816, 1, 1, 3, 6.35 
Transformer.MARUTI_TEMPLE,     2.6487,     4.59,     3.36,     44.945,    22.1362, 1, 1, 3, 6.35 
Transformer.CHIKALI,    2.40867,     4.17,     3.06,    40.8727,    20.0776, 1, 1, 3, 6.35 
Transformer.ADPAI,    3.86339,     6.69,     4.91,    65.3388,    32.5715, 1, 1, 3, 6.35 
Transformer.DURBHAT,    3.86509,     6.69,     4.91,    65.3388,    32.5726, 1, 1, 3, 6.35 
Transformer.SEWERAGE,   0.358776,     0.62,     0.46,    6.11056,    2.93043, 1, 1, 3, 6.35 
Transformer.KASWADA,    3.62251,     6.27,     4.60,    61.2556,     30.466, 1, 1, 3, 6.35 
Transformer.LONDIYAR_WADEM,    3.86628,     6.70,     4.91,    65.3389,    32.5733, 1, 1, 3, 6.35 
Transformer.NEW_TALAULIM,     1.4702,     2.55,     1.87,    24.9213,    12.2323, 1, 1, 3, 6.35 
Transformer.WADI,    2.65344,     4.60,     3.37,    44.9446,    22.1382, 1, 1, 3, 6.35 
Transformer.TALAULIM,    2.41205,     4.18,     3.06,    40.8723,    20.0962, 1, 1, 3, 6.35 
Transformer.MAHALAKSHMI_NAGAR,    3.86649,     6.70,     4.91,    65.3389,    32.5735, 1, 1, 3, 6.35 
Transformer.PAUNWADA,    2.90262,     5.03,     3.69,    49.0187,     24.522, 1, 1, 3, 6.35 
Transformer.KAVLE_MATH,    1.36448,     2.36,     1.73,    23.1161,    11.3918, 1, 1, 3, 6.35 
Transformer.SHANTADURGA_OLD,    1.13614,     1.97,     1.44,    19.3709,    9.23796, 1, 1, 3, 6.35 
Transformer.SANATAN_1,    2.89262,     5.01,     3.67,    49.0192,    24.2058, 1, 1, 3, 6.35 
Transformer.SANATAN_2,  0.0142317,     0.02,     0.02,   0.268983, 0.000180127, 0, 0, 3, 6.35 
Transformer.RAMNATHI_DEVASTHAN,    1.43009,     2.48,     1.82,    24.3798,    11.6761, 1, 1, 3, 6.35 
Transformer.RAMNATHI,  0.0142351,     0.02,     0.02,   0.269112, 0.000180213, 0, 0, 3, 6.35 
Transformer.RPRS_SCHOOL,   0.375613,     0.65,     0.48,    6.44164,    3.00141, 1, 1, 3, 6.35 
Transformer.TOLULEM,   0.014258,     0.02,     0.02,   0.269978, 0.00018121, 0, 0, 3, 6.35 
Transformer.KHARWADA, 0.00435328,     0.01,     0.01,  0.0825551, 0.0000855744, 0, 0, 3, 6.35 
Transformer.SHANTADURGA_NEW,    5.29874,     9.18,     6.73,    89.7587,    44.2868, 1, 1, 3, 6.35 
